mode,sg_bb,dino_bb,clip_bb,sg_m,sg_map,sg_time,dino_m,dino_map,dino_time,clip_map,clip_time,top_k,precision,recall,f3,total_time
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,80,0.017806150240937933,0.769094665705867,0.13961695230845228,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,80,0.3589926615149406,0.22467073758672787,0.22447177456884815,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,80,0.12774385118123996,0.483827600294727,0.3405642451338566,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,90,0.016026708707428478,0.7773169336075181,0.12863926982092003,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,90,0.35056081860059135,0.23395905174159087,0.2316390027111498,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,90,0.11391822496751978,0.49817665086536844,0.3341145753862374,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,100,0.014580142194022446,0.7843538496135899,0.11929982062388624,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,100,0.3383593783371637,0.2445873228370602,0.23990922667404438,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,100,0.10156095296966748,0.5087096829487252,0.3254396167694272,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,110,0.013816401666222207,0.7913956487712696,0.11426785661296601,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,110,0.3280886310871032,0.249064873154708,0.24288860759150208,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,110,0.09502762414704889,0.5152612257421512,0.3197944855974081,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,120,0.01310669711215841,0.7954514308637207,0.1094223748589357,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,120,0.31914377281427514,0.25185491995855347,0.2443523819194678,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,120,0.08919204104383359,0.5206257527513019,0.3136565060442743,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,130,0.012476437254055962,0.8012327279396607,0.10508008667657269,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,130,0.31054104602172006,0.2542400596204788,0.2454082697347876,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,130,0.08377956710217556,0.5265414730339053,0.30770829849368947,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,140,0.011914508478158779,0.806782163623025,0.1011363960481691,196.133287191391
intersection,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,140,0.3020864473383848,0.256671932851865,0.24619295400070687,196.133287191391
majority,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,140,0.07922717135298579,0.5310557718663858,0.30162405015169835,196.133287191391
union,.\weights\CVPR2022_CVNet_R50.pyth,vit_small_patch14_dinov2.lvd142m,openai/clip-vit-large-patch14,100,0.1410782959488939,5.841010332107544,1000,0.27028515132062947,182.18371677398682,0.2821540321806316,8.10856008529663,150,0.011388384753021615,0.8110249213321693,0.09736795316917032,196.133287191391
