mode,global_family,global_bb,global_m,global_map,local_family,local_bb,local_m,local_map,sem_family,sem_bb,sem_map,top_k,precision,recall,f3,total_time
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,60,0.024653771337369155,0.741627629543023,0.1778298772394838,935.9621968269348
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,60,0.2585238532710237,0.23671367916736516,0.21985487128541623,935.9621968269348
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,60,0.09576580076128204,0.42974852813291026,0.28140834247915725,935.9621968269348
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,70,0.021592851381783434,0.7560362244203678,0.16183513664528335,935.9621968269348
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,70,0.2397738518175967,0.2507612747896361,0.2274330161767955,935.9621968269348
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,70,0.08485028781826179,0.4507850109078385,0.2767268170779898,935.9621968269348
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,80,0.019198178383368382,0.7655960887083165,0.14820273362475767,935.9621968269348
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,80,0.22147166494696324,0.26684699282340607,0.2369626449096083,935.9621968269348
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,80,0.07607125733230985,0.46855564877731126,0.27137291299132504,935.9621968269348
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,90,0.017338158299946282,0.7758023315545757,0.13706350295225184,935.9621968269348
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,90,0.20668786912890946,0.275547167107996,0.23988776109424528,935.9621968269348
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,90,0.06880718005797759,0.48445271008117174,0.26539367863875646,935.9621968269348
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,100,0.015770592627477008,0.7815674027345628,0.1271168431602045,935.9621968269348
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,100,0.1951058329999325,0.2847416863943077,0.24342901577624868,935.9621968269348
