mode,sg_bb,depth,sg_m,dino_bb,dino_m,clip_bb,precision,recall,f3,top_k,sg_map
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03632305194805195,0.009998963428346545,0.010598108928425044,130,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.12220083999028535,0.42410353783121646,0.3010836123094728,130,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.012526812925033081,0.7756528747862781,0.10497727014478937,140,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03632305194805195,0.01016130109068421,0.010768173217548466,140,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.1146065976779779,0.43011111476005953,0.2969399341369434,140,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.011907461289014975,0.7806763993476178,0.1006575925606277,150,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.03699945887445888,0.01034167627105939,0.01096121787935162,150,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_small_patch14_dinov2.lvd142m,1000,openai/clip-vit-large-patch14,0.10702254253093925,0.4340958715415601,0.292191388766524,150,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.08488350552912022,0.49744299228220645,0.30735728896667236,10,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.011363636363636364,0.0031150735087423402,0.003327490701599203,10,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.37852697897340754,0.1685077534139318,0.17338006538445477,10,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.048886637752339875,0.5662165023616992,0.2519704355279246,20,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.020292207792207792,0.0057440417627105935,0.006094688416517893,20,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.32885159348227533,0.22780960378959805,0.22411184226956402,20,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.034680095040429966,0.6006373462184196,0.21032628313587542,30,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.025162337662337664,0.006916158336612883,0.007315628497589621,30,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.2716855073822338,0.26528561003231554,0.24961841716451644,30,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.02716679717917341,0.6267790856276819,0.1815337314104476,40,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.02976190476190476,0.007632944706808344,0.008095468663164398,40,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.22666983804262159,0.2923784771378354,0.2629521374750767,40,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.022437231658259588,0.6453918475368532,0.15979428527625533,50,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035443722943722944,0.008682253893292856,0.00923410126159247,50,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.18920423454401897,0.31358396816821665,0.2699807634227213,50,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.020299674000830534,0.6591919836381257,0.1492408870289501,60,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035443722943722944,0.008798209366391184,0.009333794309476307,60,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.1686393653778504,0.3305045836277931,0.2743621706749313,60,0.002823332290733735
