mode,global_family,global_bb,global_m,global_map,global_time,local_family,local_bb,local_m,local_map,local_time,sem_family,sem_bb,sem_map,sem_time,top_k,precision,recall,f3,total_time
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,100,0.014785776397293214,0.8001970864103216,0.121202571726019,2260.242606163025
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,100,0.2635771363869256,0.17413317745513124,0.17116111736577774,2260.242606163025
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,openai/clip-vit-large-patch14-336,0.3464607562897625,1065.4595863819122,100,0.08523214994081342,0.41112946211542467,0.2647532031410685,2260.242606163025
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,10,0.08854943168133897,0.48860908198307923,0.30810868614391,1811.4212646484375
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,10,0.2167884199134199,0.06309669820460499,0.06681975032063626,1811.4212646484375
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,10,0.3511318542568542,0.1892841275761205,0.1921722161875123,1811.4212646484375
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,50,0.02372408239261901,0.6466406984228317,0.16624603092879764,1811.4212646484375
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,50,0.2785566120387549,0.1283264891302993,0.13110777908117663,1811.4212646484375
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,50,0.14627100846692118,0.3195300709153125,0.26077351532442256,1811.4212646484375
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,100,0.013104000006074675,0.7096020916578116,0.10721844155317355,1811.4212646484375
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,100,0.2561251684531474,0.17065813067651303,0.16758388965296392,1811.4212646484375
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,0.3160650897182543,616.6382448673248,100,0.08307337038664427,0.39406725235124773,0.2553870190210688,1811.4212646484375
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,10,0.09945020496064501,0.5434892589161114,0.3449265373662972,2244.082302093506
